sign	exp	total	exact	less	greater	maxLess	maxGreater	maxAbs
-	2^9	8388608	2369	4204783	4181456	4996	4989	4996
+	2^9	8388608	2369	4181456	4204783	4989	4996	4996
-	2^10	8388608	2369	4204783	4181456	4996	4989	4996
+	2^10	8388608	2369	4181456	4204783	4989	4996	4996
-	2^11	8388608	2369	4204783	4181456	4996	4989	4996
+	2^11	8388608	2369	4181456	4204783	4989	4996	4996
-	2^12	8388608	2369	4204783	4181456	4996	4989	4996
+	2^12	8388608	2369	4181456	4204783	4989	4996	4996
-	2^13	8388608	2369	4204783	4181456	4996	4989	4996
+	2^13	8388608	2369	4181456	4204783	4989	4996	4996
-	2^14	8388608	2369	4204783	4181456	4996	4989	4996
+	2^14	8388608	2369	4181456	4204783	4989	4996	4996
-	2^15	8388608	2369	4204783	4181456	4996	4989	4996
+	2^15	8388608	2369	4181456	4204783	4989	4996	4996
-	2^16	8388608	2369	4204783	4181456	4996	4989	4996
+	2^16	8388608	2369	4181456	4204783	4989	4996	4996
-	2^17	8388608	2369	4204783	4181456	4996	4989	4996
+	2^17	8388608	2369	4181456	4204783	4989	4996	4996
-	2^18	8388608	2369	4204783	4181456	4996	4989	4996
+	2^18	8388608	2369	4181456	4204783	4989	4996	4996
-	2^19	8388608	2369	4204783	4181456	4996	4989	4996
+	2^19	8388608	2369	4181456	4204783	4989	4996	4996
-	2^20	8388608	2369	4204783	4181456	4996	4989	4996
+	2^20	8388608	2369	4181456	4204783	4989	4996	4996
-	2^21	8388608	2369	4204783	4181456	4996	4989	4996
+	2^21	8388608	2369	4181456	4204783	4989	4996	4996
-	2^22	8388608	2369	4204783	4181456	4996	4989	4996
+	2^22	8388608	2369	4181456	4204783	4989	4996	4996
-	2^23	8388608	2369	4204783	4181456	4996	4989	4996
+	2^23	8388608	2369	4181456	4204783	4989	4996	4996
-	2^24	8388608	2369	4204783	4181456	4996	4989	4996
+	2^24	8388608	2369	4181456	4204783	4989	4996	4996
-	2^25	8388608	2369	4204783	4181456	4996	4989	4996
+	2^25	8388608	2369	4181456	4204783	4989	4996	4996
-	2^26	8388608	2369	4204783	4181456	4996	4989	4996
+	2^26	8388608	2369	4181456	4204783	4989	4996	4996
-	2^27	8388608	2369	4204783	4181456	4996	4989	4996
+	2^27	8388608	2369	4181456	4204783	4989	4996	4996
-	2^28	8388608	2369	4204783	4181456	4996	4989	4996
+	2^28	8388608	2369	4181456	4204783	4989	4996	4996
-	2^29	8388608	2369	4204783	4181456	4996	4989	4996
+	2^29	8388608	2369	4181456	4204783	4989	4996	4996
-	2^30	8388608	2369	4204783	4181456	4996	4989	4996
+	2^30	8388608	2369	4181456	4204783	4989	4996	4996
-	2^31	8388608	2369	4204783	4181456	4996	4989	4996
+	2^31	8388608	2369	4181456	4204783	4989	4996	4996
-	2^32	8388608	2369	4204783	4181456	4996	4989	4996
+	2^32	8388608	2369	4181456	4204783	4989	4996	4996
-	2^33	8388608	2369	4204783	4181456	4996	4989	4996
+	2^33	8388608	2369	4181456	4204783	4989	4996	4996
-	2^34	8388608	2369	4204783	4181456	4996	4989	4996
+	2^34	8388608	2369	4181456	4204783	4989	4996	4996
-	2^35	8388608	2369	4204783	4181456	4996	4989	4996
+	2^35	8388608	2369	4181456	4204783	4989	4996	4996
-	2^36	8388608	2369	4204783	4181456	4996	4989	4996
+	2^36	8388608	2369	4181456	4204783	4989	4996	4996
-	2^37	8388608	2369	4204783	4181456	4996	4989	4996
+	2^37	8388608	2369	4181456	4204783	4989	4996	4996
