sign	exp	total	exact	less	greater	maxLess	maxGreater	maxAbs
+	2^73	8388608	2930	3198649	5187029	4421	4762	4762
-	2^74	8388608	2930	5187029	3198649	4762	4421	4762
+	2^74	8388608	2930	3198649	5187029	4421	4762	4762
-	2^75	8388608	2930	5187029	3198649	4762	4421	4762
+	2^75	8388608	2930	3198649	5187029	4421	4762	4762
-	2^76	8388608	2930	5187029	3198649	4762	4421	4762
+	2^76	8388608	2930	3198649	5187029	4421	4762	4762
-	2^77	8388608	2930	5187029	3198649	4762	4421	4762
+	2^77	8388608	2930	3198649	5187029	4421	4762	4762
-	2^78	8388608	2930	5187029	3198649	4762	4421	4762
+	2^78	8388608	2930	3198649	5187029	4421	4762	4762
-	2^79	8388608	2930	5187029	3198649	4762	4421	4762
+	2^79	8388608	2930	3198649	5187029	4421	4762	4762
-	2^80	8388608	2930	5187029	3198649	4762	4421	4762
+	2^80	8388608	2930	3198649	5187029	4421	4762	4762
-	2^81	8388608	2930	5187029	3198649	4762	4421	4762
+	2^81	8388608	2930	3198649	5187029	4421	4762	4762
-	2^82	8388608	2930	5187029	3198649	4762	4421	4762
+	2^82	8388608	2930	3198649	5187029	4421	4762	4762
-	2^83	8388608	2930	5187029	3198649	4762	4421	4762
+	2^83	8388608	2930	3198649	5187029	4421	4762	4762
-	2^84	8388608	2930	5187029	3198649	4762	4421	4762
+	2^84	8388608	2930	3198649	5187029	4421	4762	4762
-	2^85	8388608	2930	5187029	3198649	4762	4421	4762
+	2^85	8388608	2930	3198649	5187029	4421	4762	4762
-	2^86	8388608	2930	5187029	3198649	4762	4421	4762
+	2^86	8388608	2930	3198649	5187029	4421	4762	4762
-	2^87	8388608	2930	5187029	3198649	4762	4421	4762
+	2^87	8388608	2930	3198649	5187029	4421	4762	4762
-	2^88	8388608	2930	5187029	3198649	4762	4421	4762
+	2^88	8388608	2930	3198649	5187029	4421	4762	4762
-	2^89	8388608	2930	5187029	3198649	4762	4421	4762
+	2^89	8388608	2930	3198649	5187029	4421	4762	4762
-	2^90	8388608	2930	5187029	3198649	4762	4421	4762
+	2^90	8388608	2930	3198649	5187029	4421	4762	4762
-	2^91	8388608	2930	5187029	3198649	4762	4421	4762
+	2^91	8388608	2930	3198649	5187029	4421	4762	4762
-	2^92	8388608	2930	5187029	3198649	4762	4421	4762
+	2^92	8388608	2930	3198649	5187029	4421	4762	4762
-	2^93	8388608	2930	5187029	3198649	4762	4421	4762
+	2^93	8388608	2930	3198649	5187029	4421	4762	4762
-	2^94	8388608	2930	5187029	3198649	4762	4421	4762
+	2^94	8388608	2930	3198649	5187029	4421	4762	4762
-	2^95	8388608	2930	5187029	3198649	4762	4421	4762
